dataset_id,source_db,accession,dataset_title,url,linked_accessions,linked_publications,publication_title,doi,pmid,paper_verified,publication_link_status,country,study_design,n_total,n_asd,n_control,n_other,participant_count_scope,public_count_status,public_n_total,public_n_asd,public_n_control,body_site,specimen_type,anatomical_site,assay_type,assay_layers,sequencing_platform,raw_data_public,raw_data_granularity,participant_resolved_raw_data,downloadable_asd_control_pair,record_status,release_class,canonical_dataset_id,dataset_role,count_as_independent_dataset,count_in_unique_participant_total,unique_asd_contribution,unique_control_contribution,mapping_status,correction_issue_ids,notes,release_version,release_status
SCR00092,BioProject,PRJNA1377943,Dissecting the gut microbiome in multiplex autism spectrum disorder families,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1377943,SRP655509,Lu et al. 2026,Gut microbiome composition and strain-sharing in multiplex autism spectrum disorder families,10.1038/s41467-026-70142-7,41748585,yes,verified,Hong Kong,cross_sectional,429,242,133,54,article_sequenced_cohort,verified_total_only,423,,,stool,stool,stool,metagenome,metagenome,Illumina NovaSeq 6000,yes,incomplete_public_cohort,partial,unknown,included,standard,SCR00092,primary_privacy_limited_public_subset,yes,yes,242,133,strong_independence_inference_public_release_incomplete,RC009,"Primary article reports a cross-sectional human fecal metagenome cohort of 429 children: 75 ASD from multiplex families, 50 ASD from simplex families, 117 only-child ASD, 54 healthy siblings, and 133 typically developing controls. BioProject PRJNA1377943 and the linked PDF independently state that shotgun metagenomic sequencing was performed on all 429 stool samples. Public NCBI repository exposure currently shows 423 BioSample records and 380 SRA experiments/runs, while the article explicitly notes that participant metadata cannot be fully released publicly because of consent/privacy restrictions. Therefore, n_asd, n_control, n_other, and n_total were retained from the primary article, whereas country, body site, assay type, sequencing platform, and library_layout were confirmed from repository metadata. This row is treated as a reviewed paper-anchored cohort record rather than a repository-count-derived accession summary. | Count the paper cohort for study-level participant reporting, but report the current public shortfall and do not claim 429 downloadable participant-resolved runs.",v1.1-rc1,release_candidate
SCR00093,BioProject,PRJNA1393140,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder in Uruguay,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1393140,,Penalba et al. 2026,Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder,10.3389/frmbi.2026.1777385,41952964,yes,verified,Uruguay,cross_sectional,58,29,29,,primary_asd_control_groups_only,verified_group_counts,58,29,29,stool,stool,stool,16S,16S,Oxford Nanopore GridION,yes,participant_resolved,yes,yes,included,standard,SCR00093,primary,yes,yes,29,29,strong_inference_from_primary_metadata,,"BioProject title and description exactly match the published Uruguay sibling-matched cohort with 29 children with ASD and 29 neurotypical siblings living in the same household. This accession is a later public release of the same study and currently exposes 58 human gut metagenome runs on OXFORD_NANOPORE / GridION, aligning with the article's full-length 16S rRNA V1-V9 stool design. PubMed links are not embedded on the BioProject page, so the linked publication was assigned by exact title match and identical cohort description across the BioProject and primary article. | Treat as one study/cohort for manuscript counts. Direct repository cross-link was not found.",v1.1-rc1,release_candidate
SCR00100,BioProject,PRJNA168470,Human Intestinal Microbial Ecology and its Relationship to Autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA168470,,Kang et al. 2013,Reduced incidence of Prevotella and other fermenters in intestinal microflora of autistic children,10.1371/journal.pone.0068322,23844187,yes,verified,United States,case_control,39,19,20,,primary_asd_control_groups_only,verified_group_counts,39,19,20,stool,stool,stool,16S,16S,454 GS FLX Titanium,yes,participant_resolved,yes,yes,included,standard,SCR00100,primary,yes,yes,19,20,strong_independence_inference_from_primary_metadata,,"Primary article recruited 20 neurotypical and 20 autistic children in a United States study run through Arizona State University and sequenced fecal DNA using 16S rRNA V2-V3 pyrosequencing. The paper states that one autistic outlier with very low sequence count and diversity was removed before downstream microbiome analyses; figures and heatmaps therefore reflect 39 analyzed subjects (A01-A19 and N01-N20), while the public accession still contains 40 runs including A-excl. n_asd and n_control were recorded from the analyzed dataset. Repository metadata confirm a stool amplicon dataset on 454 GS FLX Titanium, although one control run (N11) is anomalously labeled METATRANSCRIPTOMIC in LibrarySource. | PRJNA533120 re-sequences this cohort and a separate Kang metabolite cohort; it is not evidence that PRJNA168470 overlaps the MTT cohort.",v1.1-rc1,release_candidate
SCR00103,BioProject,PRJNA282013,Autism Gut targeted loci,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282013,SRP057700,Son et al. 2015,Comparison of Fecal Microbiota in Children with Autism Spectrum Disorders and Neurotypical Siblings in the Simons Simplex Collection,10.1371/journal.pone.0137725,26427004,yes,verified,United States,case_control,103,59,44,,primary_asd_control_groups_only,verified_group_counts,103,59,44,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00103,primary,yes,yes,59,44,confirmed_from_article_and_complete_repository,,"BioProject metadata directly link to the primary PLOS ONE article comparing fecal microbiota in children with ASD and their neurotypical siblings from the Simons Simplex Collection in the United States. The article reports 59 ASD children and 44 neurotypical siblings, and repository sample aliases encode affected and unaffected sibling status within simplex families. Stool-based 16S rRNA sequencing of the V1-V2 and V1-V3 regions was performed on Illumina MiSeq. The public accession currently exposes 103 sample/run records, which matches the participant-level total reported in the article.",v1.1-rc1,release_candidate
SCR00106,BioProject,PRJNA355023,Gut microbial dysbiosis in Indian children with Autistic spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA355023,,Pulikkan et al. 2018,Gut Microbial Dysbiosis in Indian Children with Autism Spectrum Disorders,10.1007/s00248-018-1176-2,29564487,yes,verified,India,case_control,54,30,24,,primary_asd_control_groups_only,verified_group_counts,54,30,24,stool,stool,stool,16S,16S,NextSeq 500,yes,participant_resolved,yes,yes,included,standard,SCR00106,primary,yes,yes,30,24,confirmed_from_curated_evidence,,"Primary article compares fecal microbiota in 30 Indian children with ASD and 24 family-matched healthy children. BioProject metadata describe the same Indian ASD gut dysbiosis cohort, and public run metadata confirm paired-end amplicon sequencing on Illumina NextSeq 500. The article identifies the assay as 16S rRNA gene amplicon sequencing, and the current accession exposes 54 runs, consistent with the 30 ASD plus 24 control participants reported in the paper. | Use SCR00106 as the canonical raw-sequence record.",v1.1-rc1,release_candidate
SCR00109,BioProject,PRJNA362687,Oral microbial changes in ASD children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA362687,SRP097646,Qiao et al. 2018,Alterations of oral microbiota distinguish children with autism spectrum disorders from healthy controls,10.1038/s41598-018-19982-y,29371629,yes,verified,China,case_control,59,32,27,,primary_asd_control_groups_only,verified_group_counts,59,32,27,oral,oral_sample,saliva; dental_plaque,16S,16S,Illumina MiSeq,yes,participant_resolved_with_multisite_samples,yes,yes,included,standard,SCR00109,primary,yes,yes,32,27,confirmed_participant_level_multisite_count,RC030,"The primary Scientific Reports article describes an oral microbiome case-control study in Shanghai, China, including 32 children with ASD and 27 age- and gender-matched healthy controls. The study collected two oral habitats per participant, saliva and dental plaque, generating 111 oral samples in total; participant counts rather than sample counts were recorded in n_asd and n_control. Public run metadata confirm paired-end Illumina MiSeq amplicon sequencing of the V3-V4 region, and sample aliases/descriptions distinguish ASD and healthy oral specimens, but repository country fields are missing, so country was taken from the primary article. | Count 59 participants once; expose saliva and plaque separately.",v1.1-rc1,release_candidate
SCR00113,BioProject,PRJNA451479,Metagenomic sequencing of gut microbiota associated with autism spectrum disorders patients,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA451479,,Dan et al. 2020,Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder,10.1080/19490976.2020.1747329,32312186,yes,verified,China,case_control,60,30,30,,primary_asd_control_groups_only,verified_group_counts,60,30,30,stool,stool,stool,metagenome,metagenome,HiSeq X Ten,yes,participant_resolved,yes,yes,included,standard,SCR00113,modality_subset,yes,no,0,0,confirmed_from_curated_evidence,,"BioProject and GEO series GSE113540 describe a fecal shotgun metagenomic case-control dataset from China with 30 ASD children and 30 healthy controls. The linked primary paper first profiled a larger 16S cohort of 143 children, then selected 30 constipation-associated ASD cases and 30 age-matched typically developing controls for metagenomic sequencing; these 60 fecal samples correspond to PRJNA451479. Public run metadata confirm paired-end Illumina HiSeq X Ten sequencing of feces metagenome samples, although LibraryStrategy is generically labeled OTHER in SRA. A second PubMed-linked paper (PMID 33412999) reuses part of this cohort for host genetic integration, but the accession description and sample count align most directly with Dan et al. 2020. | Count as a distinct sequencing dataset, but not as additional unique participants.",v1.1-rc1,release_candidate
SCR00114,BioProject,PRJNA453621,Gut microbiota analysis associated with autism spectrum disorders [16S rRNA],https://www.ncbi.nlm.nih.gov/bioproject/PRJNA453621,,Dan et al. 2020,Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder,10.1080/19490976.2020.1747329,32312186,yes,verified,China,case_control,286,143,143,,primary_asd_control_groups_only,verified_group_counts,286,143,143,stool,stool,stool,16S,16S,Illumina HiSeq 2500,yes,participant_resolved,yes,yes,included,standard,SCR00114,primary,yes,yes,143,143,confirmed_from_curated_evidence,,"BioProject PRJNA453621 and GEO GSE113690 correspond to the 16S rRNA branch of the Chinese ASD gut microbiome cohort described in Dan et al. 2020. GEO and BioProject explicitly report 143 ASD patients and 143 healthy controls with fecal samples, and the linked paper confirms these counts in participant characteristics. Public SRA/GEO metadata confirm single-end/single-library 16S amplicon sequencing on Illumina HiSeq 2500, although SRA labels LibraryStrategy generically as OTHER rather than 16S/AMPLICON. This accession is the larger 16S dataset, whereas the same paper also contains a smaller 60-sample shotgun subset deposited separately as PRJNA451479. | Use the 16S cohort once for participant-level counting.",v1.1-rc1,release_candidate
SCR00116,BioProject,PRJNA453894,Bacteria Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA453894,SRP144126; OEP000294,Li et al. 2019,Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment,10.1016/j.gpb.2019.01.002,31026579,yes,verified,China,case_control,178,59,30,89,article_cohort_represented_by_pooled_raw_data,not_participant_resolved,,,,stool,stool,stool,16S,16S,Illumina HiSeq 2500,yes,pooled,no,no,included,standard,SCR00116,pooled_raw_release,yes,yes,59,30,confirmed_article_cohort_raw_data_pooled,RC015,"Primary article studies stool 16S profiles in four groups from China: ASD children, mothers of ASD children, healthy children, and mothers of healthy children. PubMed and the full article specify 59 mother-child pairs of ASD children and 30 matched mother-child pairs of healthy children, so n_asd and n_control were recorded at the child level and n_other was used for the 89 mothers. The article explicitly states that sequencing data were deposited under PRJNA453894 and were generated on an Illumina HiSeq sequencer. Public repository metadata currently expose only two pooled HiSeq 2500 amplicon runs on a single BioSample representing the four groups, so participant counts were taken from the primary article rather than from run count. | Count 59 ASD and 30 controls once in the primary comparison; retain 89 mothers as n_other and label the SRA files as pooled.",v1.1-rc1,release_candidate
SCR00118,BioProject,PRJNA516054,Whole metagenomic analysis of the enteric microbiota in children with autism spectrum disorder: the search for marker genes compositions,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA516054,,,,,,no,not_linked,Russia,case_control,78,55,23,,primary_asd_control_groups_only,verified_group_counts,78,55,23,stool,stool,stool,multi_assay,16S; shotgun_metagenome,Illumina HiSeq 2500; Illumina HiSeq 4000; Illumina NovaSeq 6000; Illumina MiSeq,yes,multi_assay_participant_resolved,yes,yes,included,standard,SCR00118,aggregated_repository_record,yes,yes,55,23,confirmed_from_repository_biosample_metadata,RC005,"BioProject PRJNA516054 has no direct PubMed linkage and appears to aggregate three Moscow, Russia stool/feces series from the same ASD microbiome program. Public ENA sample records expose 78 unique fecal biosamples from Russia: Moscow and support an accession-level split of 55 ASD samples (AC_1-AC_55) and 23 control samples (HC_1-HC_23). Public SRA exposes 98 paired-end runs because 20 DA-series biosamples were sequenced both as whole metagenome on Illumina HiSeq 2500 and as 16S amplicons on Illumina MiSeq, while additional whole-metagenome subsets were generated on Illumina HiSeq 4000 and NovaSeq 6000. BioProject title, grant framing, and intended data type explicitly describe whole metagenomic analysis, so assay_type_normalized was retained as metagenome while sequencing_platform remains multi-platform. No single accession-wide primary article or PubMed link was identified; this row is therefore treated as a reviewed aggregated repository record rather than a paper-verified single-study row. | Count 78 ASD/control biosamples once; do not infer a single primary paper for this aggregated repository record.",v1.1-rc1,release_candidate
SCR00119,BioProject,PRJNA518756,"Potential Associations Among Alteration of Salivary miRNAs, Saliva Microbiome Structure, and Cognitive Impairments in Autistic Children",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA518756,PRJNA518760,Ragusa et al. 2020,"Potential Associations Among Alteration of Salivary miRNAs, Saliva Microbiome Structure, and Cognitive Impairments in Autistic Children",10.3390/ijms21176203,32867322,yes,verified,Italy,case_control,80,53,27,,primary_asd_control_groups_only,verified_group_counts,80,53,27,oral,oral_sample,oral,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00119,split_companion_accessions,yes,yes,53,27,confirmed_from_repository_biosample_metadata,RC001,"The primary IJMS article reports combined salivary miRNA and saliva microbiome profiling in 53 ASD and 27 neurologically unaffected control children from Catania, Italy. BioProject PRJNA518756 embeds the exact article DOI and title, and repository metadata confirm human saliva metagenome amplicon sequencing on Illumina MiSeq. However, the currently exposed public SRA/ENA records include only 27 control saliva runs (H1-Sal to H40-Sal subset) rather than the full 80-subject case-control cohort described in the paper. For this reason, n_asd and n_control were extracted from the primary article, while country, oral body site, assay type, and sequencing platform were confirmed from repository pages. | PRJNA518760 was incorrectly treated as a duplicate during screening; it is a complementary case deposit and must be linked for download.",v1.1-rc1,release_candidate
SCR00122,BioProject,PRJNA529598,Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA529598,,Kang et al. 2017,Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study,10.1186/s40168-016-0225-7,28122648,yes,verified,United States,intervention,38,18,20,,primary_asd_control_groups_only,verified_group_counts,38,18,20,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00122,primary,yes,yes,18,20,confirmed_from_article_and_biosample_metadata,RC002,"BioProject PRJNA529598 directly links to the initial Microbiota Transfer Therapy article (Kang et al. 2017) and describes the accession as containing the original 18-week ASD treatment study plus a follow-up sampling event approximately two years after fecal microbiota transfer. The primary article reports an open-label intervention cohort of 18 children with ASD and moderate-to-severe gastrointestinal symptoms, and explicitly states that 20 age- and gender-matched neurotypical children without GI disorders were recruited as controls for microbiome comparison. Public SRA RunInfo for this accession shows 484 AMPLICON paired-end runs on Illumina MiSeq, reflecting repeated longitudinal stool sampling rather than participant counts. Therefore n_asd and n_control were extracted from the primary article, while stool body site, 16S assay type, and Illumina MiSeq platform were confirmed from repository metadata. | The release n_total=38 is the primary child comparison, not the number of all human hosts represented in the accession.",v1.1-rc1,release_candidate
SCR00124,BioProject,PRJNA533120,16S rRNA MiSeq resequencing of two Arizona ASD/NT cohorts,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA533120,SRP192904; PRJNA168470,Kang et al. 2013; Kang et al. 2018,Resequencing release combining the Kang 2013 and fecal-metabolite cohorts,,,yes,verified,United States,case_control,82,41,41,,public_repository_participant_records,verified_group_counts,82,41,41,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included_partial_overlap,accepted_exception_overlapping_resequencing,SCR00124,overlapping_resequencing_release,yes,partial,22,21,confirmed_overlapping_resequencing_components,RC003,Public BioSample host_phenotype gives 41 ASD and 41 NT records. The 39 P-series records reproduce SCR00100 (19 ASD/20 NT); the 43 B-series records are a distinct public cohort (22 ASD/21 NT). | Count only the B-series contribution; retain all 82 records for download.,v1.1-rc1,release_candidate
SCR00126,BioProject,PRJNA559058,The oral microbiome of ASD mother-child pairs and healthy mother-child pairs,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA559058,,,,,,no,not_linked,China,case_control,166,57,26,83,primary_asd_control_groups_only,metadata_only,,,,oral,oral_sample,oral,metagenome,metagenome,,no,metadata_only,no,no,metadata_only,standard,SCR00126,repository_metadata_only,yes,yes,57,26,confirmed_from_repository_biosample_metadata,RC004,"BioProject PRJNA559058 has no direct PubMed linkage, no linked publication on the BioProject page, and exact-title plus accession searches in PubMed return no records, so publication fields were left blank to avoid speculative linkage. Repository metadata are still sufficient for the cohort fields: the BioProject XML states that 57 ASD children (ASD_C) and their mothers (ASD_M), together with 26 matched healthy children (H_C) and their mothers (H_M), were recruited in Shandong, China, yielding 57 ASD children, 26 controls, 83 mothers in another group, and 166 total oral samples. Public BioSample linkouts for this accession return 166 records and confirm oral metagenome/oral swab metadata with geographic location China:JiNan. In contrast, the public BioProject-to-SRA linkout currently returns 0 results, so sequencing_platform and library_layout were left blank and raw_data_public was set to no because public sequence runs are not exposed on NCBI. assay_type_normalized was set to metagenome strictly from the BioSample package and organism annotations, not from an inferred publication. | No public sequence runs are currently linked; retain as a repository-metadata record, not a downloadable raw-data record.",v1.1-rc1,release_candidate
SCR00130,BioProject,PRJNA578223,human gut metagenome Metagenome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA578223,,Zou et al. 2020,Changes in the Gut Microbiota of Children with Autism Spectrum Disorder,10.1002/aur.2358,32830918,yes,verified,China,case_control,96,48,48,,primary_asd_control_groups_only,verified_group_counts,96,48,48,stool,stool,stool,16S,16S,Illumina MiSeq,yes,shared_biosample_run_resolved,yes,yes,included,standard,SCR00130,participant_runs_shared_biosample,yes,yes,48,48,confirmed_participant_resolved_run_aliases,RC017,"BioProject PRJNA578223 and the linked Autism Research article describe a case-control cohort of 48 children with ASD and 48 healthy children in China, analyzed by bacterial 16S rRNA gene sequencing of fecal microbiota. Public SRA run XML confirms 96 paired-end Illumina MiSeq amplicon runs and labels the experiment design simply as 16S. However, the repository exposes only one public BioSample record (SAMN13053192, China:Shanghai) despite 96 total runs, so participant counts were extracted from the article and BioProject description rather than inferred from BioSample count. Country was assigned from the article affiliations and the available repository geo_loc_name, both pointing to China. PMCID was left blank because PubMed does not list one for this article. | Use run aliases, not BioSample count, for participant-level website navigation.",v1.1-rc1,release_candidate
SCR00132,BioProject,PRJNA589343,The gut microbiota changes in Chinese children with autism spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA589343,SRP229792,Ding et al. 2020,Gut microbiota changes in patients with autism spectrum disorders,10.1016/j.jpsychires.2020.06.032,32912596,yes,verified,China,case_control,127,77,50,,primary_asd_control_groups_only,verified_group_counts,127,77,50,stool,stool,stool,16S,16S,Illumina HiSeq 4000,yes,participant_resolved,yes,yes,included,standard,SCR00132,primary,yes,yes,77,50,confirmed_from_article_and_complete_repository,RC031,"BioProject PRJNA589343 embeds the exact PubMed-linked article by Ding et al. 2020 and public repository metadata cleanly match the cohort size. PubMed reports 77 children with ASD and 50 age-matched healthy children, and ENA/SRA sample metadata expose 127 fecal biosamples with aliases ASD1-ASD77 and HCs1-HCs50. Representative run XML shows the experiment design description as 16S V4 rRNA on Illumina HiSeq 4000, while SRA RunInfo labels library_strategy as Targeted-Capture; assay_type_normalized was therefore set to 16S based on the more specific experiment design and sample context. Country was taken from the article affiliations and study title/description indicating Chinese children with ASD. PMCID was left blank because PubMed does not list one for this article. | Classify the biological assay as V4 16S amplicon; ENA's library_strategy=Targeted-Capture is an archive metadata inconsistency.",v1.1-rc1,release_candidate
SCR00135,BioProject,PRJNA599249,Gut microbiota of ASD children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA599249,,Wang et al. 2020,Probiotics and fructo-oligosaccharide intervention modulate the microbiota-gut brain axis to improve autism spectrum reducing also the hyper-serotonergic state and the dopamine metabolism disorder,10.1016/j.phrs.2020.104784,32305492,yes,verified,China,intervention,50,26,24,,primary_asd_control_groups_only,verified_group_counts,50,26,24,stool,stool,stool,16S,16S,Illumina HiSeq 2500,yes,participant_resolved,yes,yes,included,standard,SCR00135,primary,yes,yes,26,24,verified_participant_level_longitudinal_count,,"BioProject PRJNA599249 and the matched Pharmacol Res. article describe a two-stage cohort with 26 children with ASD and 24 normal children at discovery, followed by an intervention stage in the same 26 ASD children randomized to probiotics plus FOS (n=16) or placebo (n=10). The PubMed abstract explicitly states that gut microbiota profiles were measured using 16S rRNA sequencing. Representative SRA run XML confirms Human stool samples, AMPLICON library strategy, and Illumina HiSeq 2500. Public repository metadata expose 104 stool amplicon runs and samples because repeated intervention-associated uploads are present; n_asd and n_control were therefore extracted from the primary article at participant level rather than from raw run count.",v1.1-rc1,release_candidate
SCR00140,BioProject,PRJNA624252,16S rRNA gene sequence of autism spectrum disorder children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA624252,,Zhao et al. 2019,Correlation between gut microbiota and behavior symptoms in children with autism spectrum disorder,10.7499/j.issn.1008-8830.2019.07.009,31315765,yes,verified,China,case_control,50,30,20,,primary_asd_control_groups_only,verified_group_counts,49,29,20,stool,stool,stool,16S,16S,Illumina MiSeq,yes,partial_public_subset,partial,no,included_partial_public,standard,SCR00140,primary_public_subset,yes,partial,29,20,confirmed_public_subset_from_repository_aliases,RC012,"Primary article and PubMed directly confirm Zhao et al. 2019 (doi 10.7499/j.issn.1008-8830.2019.07.009; PMID 31315765; PMCID PMC7389106) for PRJNA624252. The article reports 30 ASD and 20 typically developing children from the Fifth Affiliated Hospital of Zhengzhou University, China, profiled from fecal samples by V3-V4 16S sequencing. BioProject overview is concordant at 50 experiments and 50 BioSamples, but currently visible run-level metadata expose only 49 unique biosample identifiers because ASD-25/SAMN14572492 appears duplicated and a distinct ASD-26 sample is not separately visible; participant counts were therefore anchored to the linked article and BioProject overview rather than the incomplete visible run list. | Count 49 participant-resolved public BioSamples in the current public-data subtotal; retain 30/20 as the paper-level cohort.",v1.1-rc1,release_candidate
SCR00141,BioProject,PRJNA642975,16s rRNA amplicon sequencing of fecal samples from Chinese children with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA642975,SRP269299,Cao et al. 2021,Dysbiotic Gut Microbiota and Dysregulation of Cytokine Profile in Children and Teens With Autism Spectrum Disorder,10.3389/fnins.2021.635925,33642989,yes,verified,China,case_control,86,45,41,,primary_asd_control_groups_only,verified_group_counts,86,45,41,stool,stool,stool,16S,16S,Illumina HiSeq 2500,yes,participant_resolved,yes,yes,included,standard,SCR00141,primary,yes,yes,45,41,confirmed_from_article_and_complete_repository,,"BioProject PRJNA642975 directly matches the Frontiers in Neuroscience article by Cao et al. 2021. The BioProject title and description specify 16S rRNA amplicon sequencing of fecal samples from Chinese children with ASD, and the article reports a cohort of 45 ASD subjects and 41 healthy controls aged 2 to 19 years. The full text states that raw data were deposited under PRJNA642975 and that libraries were sequenced as paired-end 2 x 250 bp reads on an Illumina HiSeq apparatus; public RunInfo further resolves the platform as Illumina HiSeq 2500 with AMPLICON strategy and 86 unique biosamples. The article also cautions that healthy-control stool sequencing quality requires further validation, but cohort counts and core assay metadata are explicit.",v1.1-rc1,release_candidate
SCR00143,BioProject,PRJNA644763,Study on the gut microbiota in autism children and their mothers Targeted loci,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA644763,PRJNA644730,Chen et al. 2020,Gut Bacteria Shared by Children and Their Mothers Associate with Developmental Level and Social Deficits in Autism Spectrum Disorder,10.1128/mSphere.01044-20,33268567,yes,verified,China,case_control,246,76,47,123,primary_asd_control_groups_only,verified_group_counts,246,76,47,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00143,primary,yes,yes,76,47,confirmed_from_curated_evidence,,"PRJNA644763 is the actual raw-sequence accession explicitly cited in the data-availability statement of Chen et al. 2020. The mSphere article reports 76 ASD children and 47 age- and gender-matched typically developing children, together with the mothers of both groups, yielding 246 fecal samples/participants in the paired design; n_other was used for the 123 mothers. The full text states that the bacterial 16S rRNA V3-V4 regions in fecal samples were sequenced on an Illumina MiSeq platform. Public project mirrors such as CNGBdb/OmicsDI show 246 samples, 246 experiments, and 246 runs for PRJNA644763. linked_accessions was set to PRJNA644730 because that companion BioProject page carries the same study description but no public sequence data. | Use SCR00143 as the canonical raw-sequence record.",v1.1-rc1,release_candidate
SCR00147,BioProject,PRJNA686821,Shotgun metagenomics data from human stool microorganism Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA686821,,Wan et al. 2022,Underdevelopment of the gut microbiota and bacteria species as non-invasive markers of prediction in children with autism spectrum disorder,10.1136/gutjnl-2020-324015,34312160,yes,verified,Hong Kong,case_control,146,72,74,,primary_asd_control_groups_only,verified_total_only,128,,,stool,stool,stool,metagenome,metagenome,Illumina NovaSeq 6000,yes,partial_public_subset,partial,unknown,included,accepted_exception_public_subset_mismatch,SCR00189,primary_public_subset,yes,no,0,0,strong_inference_prior_cohort_reused,RC008,"Retained in the dataset atlas as a valid paper-linked public dataset despite an exposure mismatch. Wan et al. 2022 report 146 Chinese children with deep faecal metagenomic sequencing, comprising 72 ASD and 74 typically developing children, and explicitly link the raw data to BioProject PRJNA686821. Repository metadata independently confirm human stool shotgun metagenomics on Illumina NovaSeq 6000 with paired-end WGS libraries. However, the currently exposed public accession contains only 128 runs/BioSamples, and the public sample-name structure resolves into a balanced subset of 64 a-series and 64 t-series samples rather than the full 72/74 article cohort. Therefore, n_asd and n_control were retained from the primary article, while assay, platform, body site, country, and library_layout were confirmed from repository metadata. This row is kept as a dataset-level exception and should be interpreted as a valid linked dataset whose current public release is smaller than the paper cohort. | Retain as a distinct public sequencing release, but do not add its participants again when SCR00189 is used as the expanded cohort representative.",v1.1-rc1,release_candidate
SCR00148,BioProject,PRJNA687773,"Fecal microbiome of children with autism spectrum disorder, their mothers, and healthy children",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA687773,SRP299486,Huang et al. 2021,Microbiome-Specific Statistical Modeling Identifies Interplay Between Gastrointestinal Microbiome and Neurobehavioral Outcomes in Patients With Autism: A Case Control Study,10.3389/fpsyt.2021.682454,34744810,yes,verified,China,case_control,119,39,44,36,primary_asd_control_groups_only,verified_group_counts,119,39,44,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00148,primary,yes,yes,39,44,confirmed_from_article_and_complete_repository,,"PRJNA687773 is best matched to the microbiome-focused Frontiers in Psychiatry article by Huang et al. 2021, which explicitly cites SRA PRJNA687773 and describes a case-control design with 39 ASD subjects, 36 first-degree relative controls, and 44 age- and sex-matched healthy controls. The full article reports fecal sampling, V4-V5 16S amplicon sequencing using the 515f-y/926r primer pair, and sequencing on an Illumina MiSeq platform with paired-end PE300 chemistry. Importantly, the Methods section clarifies that although siblings were intended for the first-degree family member control group, only mothers were ultimately recruited as these 36 controls because of the paucity of siblings in the study population. This microbiome-primary paper therefore provides a coherent accession-matched total of 119 public participants/samples, and n_other records the 36 mothers. | Keep the 36 first-degree relatives in n_other.",v1.1-rc1,release_candidate
