"dataset_id","bioproject_accession","study_accession","geo_accession","mgnify_accession","qiita_study_id","pubmed_id","doi","first_author","year","title","comparison","sequencing_type","body_site","n_asd","n_control","n_total","age_group","gi_symptoms","antibiotics_reported","country","source_db","notes"
"DS0084","PRJNA355023","","","","","29564487","10.1007/s00248-018-1176-2","Pulikkan","2018","Gut Microbial Dysbiosis in Indian Children with Autism Spectrum Disorders","ASD_vs_control","16S","stool","30","24","54","child","unknown","unknown","India","bioproject","First Indian ASD microbiome study; IISER Bhopal; 16S V3-V4; CARS/DSM-5 diagnosis"
"DS0085","PRJNA529598","","","","","28122648","10.1186/s40168-016-0225-7","Kang","2017","Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study","ASD_vs_control","16S","stool","18","20","38","child","yes","yes","USA","bioproject","Arizona State / Northern Arizona; MTT open-label trial; 2-year follow-up in Kang 2019 PMID:30967657"
"DS0086","PRJNA1037036","","","","","38977906","10.1038/s41564-024-01739-1","Su","2024","Multikingdom and functional gut microbiota markers for autism spectrum disorder","ASD_vs_control","shotgun","stool","791","836","1627","child","unknown","unknown","China","bioproject","CUHK Hong Kong; 5 cohorts; multikingdom (archaea+bacteria+fungi+viruses); AUC 0.91 diagnostic panel"
"DS0087","","","","","11169","29274915","10.1016/j.anaerobe.2017.12.007","Kang","2018","Differences in fecal microbial metabolites and microbiota of children with autism spectrum disorders","ASD_vs_control","16S","stool","21","23","44","child","yes","unknown","USA","qiita","Qiita study ID 11169; Arizona State; 16S + fecal metabolomics; data also in PRJNA533120 resequencing"
"DS0088","PRJNA917543","","","","","","","unknown","2023","Analysis of gut microbiota profiles and their associations in children with autism spectrum disorders in Bangladesh","ASD_vs_control","16S","stool","unknown","unknown","39","child","unknown","unknown","Bangladesh","bioproject","Laboratory of Microbial Genomics and Metabolic Engineering; Illumina NovaSeq 6000; 16S amplicon; 39 samples labeled as ASD patient or control patient; no linked publication found; temporal sampling design"
"DS0089","PRJNA782533","","","","","36362265","10.3390/ijms232113481","Nirmalkar","2022","Shotgun Metagenomics Study Suggests Alteration in Sulfur Metabolism and Oxidative Stress in Children with Autism and Improvement after Microbiota Transfer Therapy","ASD_vs_control","shotgun","stool","18","20","38","child","yes","yes","USA","bioproject","Arizona State University Biodesign Institute; ages 7-16; MTT open-label trial; 79 BioSamples across timepoints (18 ASD baseline + follow-ups + 20 TD + donors); GSRS used for GI symptoms; vancomycin administered as part of MTT protocol; n_total=38 unique subjects (79 BioSamples include longitudinal timepoints)"
"DS0090","PRJNA597790","","","","","32447559","10.1007/s10803-020-04543-y","Zou","2021","Dysbiosis of Gut Fungal Microbiota in Children with Autism Spectrum Disorders","ASD_vs_control","16S","stool","unknown","unknown","60","child","unknown","unknown","China","bioproject","ITS amplicon (mycobiome); Chinese National Human Genome Center at Shanghai; 60 SRA experiments; fungal community analysis; Saccharomyces and Aspergillus differences identified"
"DS0091","PRJEB27306","","","","","31530087","10.1080/19490976.2019.1662260","Zurita","2020","Analysis of gut microbiome, nutrition and immune status in autism spectrum disorder: a case-control study in Ecuador","ASD_vs_control","16S","stool","25","35","60","child","yes","unknown","Ecuador","bioproject","Universidad San Francisco de Quito; 16S rRNA V4 region; Illumina MiSeq; also includes oropharyngeal samples in BioProject scope (58 SRA runs); higher GI symptoms in ASD group (constipation 52% vs 20%); ENA accessions ERR2672822-ERR2672879"
"DS0092","PRJNA436440","","","","","29564487","10.1007/s00248-018-1176-2","Pulikkan","2018","Gut Microbial Dysbiosis in Indian Children with Autism Spectrum Disorders","ASD_vs_control","16S","stool","unknown","unknown","17","child","yes","unknown","India","bioproject","Central University of Kerala; 16S V3-V4 amplicon on Illumina HiSeq 4000; 17 BioSamples (subset of 30 ASD + 24 control cohort); related to DS0084/PRJNA355023 which has full cohort; Pulikkan 2018 PMID 29564487"
"DS0093","PRJNA639900","","","","","34724444","10.1097/MPG.0000000000003349","Alookaran","2022","Fungi, Friend or Foe? A Mycobiome Evaluation in Children with Autism and Gastrointestinal Symptoms","ASD_vs_control","16S","stool","30","20","50","child","yes","unknown","USA","bioproject","ITS amplicon (mycobiome); University of Nebraska-Lincoln; 20 ASD+GI + 10 ASD-GI + 20 TD controls; ITS sequencing + qPCR 18S rRNA; GI Severity Index used; no significant alpha diversity differences found"
