dataset_id,source_db,accession,dataset_title,url,linked_publications,publication_title,doi,pmid,paper_verified,country,study_design,n_total,n_asd,n_control,n_other,body_site,assay_type,sequencing_platform,intervention_flag,longitudinal_flag,raw_data_public,release_class,notes
SCR00119,BioProject,PRJNA518756,"Potential Associations Among Alteration of Salivary miRNAs, Saliva Microbiome Structure, and Cognitive Impairments in Autistic Children",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA518756,Ragusa et al. 2020,"Potential Associations Among Alteration of Salivary miRNAs, Saliva Microbiome Structure, and Cognitive Impairments in Autistic Children",10.3390/ijms21176203,32867322,yes,Italy,case_control,80,53,27,,oral,16S,Illumina MiSeq,no,no,yes,standard,"The primary IJMS article reports combined salivary miRNA and saliva microbiome profiling in 53 ASD and 27 neurologically unaffected control children from Catania, Italy. BioProject PRJNA518756 embeds the exact article DOI and title, and repository metadata confirm human saliva metagenome amplicon sequencing on Illumina MiSeq. However, the currently exposed public SRA/ENA records include only 27 control saliva runs (H1-Sal to H40-Sal subset) rather than the full 80-subject case-control cohort described in the paper. For this reason, n_asd and n_control were extracted from the primary article, while country, oral body site, assay type, and sequencing platform were confirmed from repository pages."
SCR00122,BioProject,PRJNA529598,Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA529598,Kang et al. 2017,Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study,10.1186/s40168-016-0225-7,28122648,yes,United States,intervention,38,18,20,,stool,16S,Illumina MiSeq,yes,yes,yes,standard,"BioProject PRJNA529598 directly links to the initial Microbiota Transfer Therapy article (Kang et al. 2017) and describes the accession as containing the original 18-week ASD treatment study plus a follow-up sampling event approximately two years after fecal microbiota transfer. The primary article reports an open-label intervention cohort of 18 children with ASD and moderate-to-severe gastrointestinal symptoms, and explicitly states that 20 age- and gender-matched neurotypical children without GI disorders were recruited as controls for microbiome comparison. Public SRA RunInfo for this accession shows 484 AMPLICON paired-end runs on Illumina MiSeq, reflecting repeated longitudinal stool sampling rather than participant counts. Therefore n_asd and n_control were extracted from the primary article, while stool body site, 16S assay type, and Illumina MiSeq platform were confirmed from repository metadata."
SCR00126,BioProject,PRJNA559058,The oral microbiome of ASD mother-child pairs and healthy mother-child pairs,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA559058,,,,,no,China,case_control,166,57,26,83,oral,metagenome,,no,no,no,standard,"BioProject PRJNA559058 has no direct PubMed linkage, no linked publication on the BioProject page, and exact-title plus accession searches in PubMed return no records, so publication fields were left blank to avoid speculative linkage. Repository metadata are still sufficient for the cohort fields: the BioProject XML states that 57 ASD children (ASD_C) and their mothers (ASD_M), together with 26 matched healthy children (H_C) and their mothers (H_M), were recruited in Shandong, China, yielding 57 ASD children, 26 controls, 83 mothers in another group, and 166 total oral samples. Public BioSample linkouts for this accession return 166 records and confirm oral metagenome/oral swab metadata with geographic location China:JiNan. In contrast, the public BioProject-to-SRA linkout currently returns 0 results, so sequencing_platform and library_layout were left blank and raw_data_public was set to no because public sequence runs are not exposed on NCBI. assay_type_normalized was set to metagenome strictly from the BioSample package and organism annotations, not from an inferred publication."
SCR00130,BioProject,PRJNA578223,human gut metagenome Metagenome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA578223,Zou et al. 2020,Changes in the Gut Microbiota of Children with Autism Spectrum Disorder,10.1002/aur.2358,32830918,yes,China,case_control,96,48,48,,stool,16S,Illumina MiSeq,no,no,yes,standard,"BioProject PRJNA578223 and the linked Autism Research article describe a case-control cohort of 48 children with ASD and 48 healthy children in China, analyzed by bacterial 16S rRNA gene sequencing of fecal microbiota. Public SRA run XML confirms 96 paired-end Illumina MiSeq amplicon runs and labels the experiment design simply as 16S. However, the repository exposes only one public BioSample record (SAMN13053192, China:Shanghai) despite 96 total runs, so participant counts were extracted from the article and BioProject description rather than inferred from BioSample count. Country was assigned from the article affiliations and the available repository geo_loc_name, both pointing to China. PMCID was left blank because PubMed does not list one for this article."
SCR00132,BioProject,PRJNA589343,The gut microbiota changes in Chinese children with autism spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA589343,Ding et al. 2020,Gut microbiota changes in patients with autism spectrum disorders,10.1016/j.jpsychires.2020.06.032,32912596,yes,China,case_control,127,77,50,,stool,16S,Illumina HiSeq 4000,no,no,yes,standard,"BioProject PRJNA589343 embeds the exact PubMed-linked article by Ding et al. 2020 and public repository metadata cleanly match the cohort size. PubMed reports 77 children with ASD and 50 age-matched healthy children, and ENA/SRA sample metadata expose 127 fecal biosamples with aliases ASD1-ASD77 and HCs1-HCs50. Representative run XML shows the experiment design description as 16S V4 rRNA on Illumina HiSeq 4000, while SRA RunInfo labels library_strategy as Targeted-Capture; assay_type_normalized was therefore set to 16S based on the more specific experiment design and sample context. Country was taken from the article affiliations and study title/description indicating Chinese children with ASD. PMCID was left blank because PubMed does not list one for this article."
SCR00135,BioProject,PRJNA599249,Gut microbiota of ASD children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA599249,Wang et al. 2020,Probiotics and fructo-oligosaccharide intervention modulate the microbiota-gut brain axis to improve autism spectrum reducing also the hyper-serotonergic state and the dopamine metabolism disorder,10.1016/j.phrs.2020.104784,32305492,yes,China,intervention,50,26,24,,stool,16S,Illumina HiSeq 2500,yes,yes,yes,standard,"BioProject PRJNA599249 and the matched Pharmacol Res. article describe a two-stage cohort with 26 children with ASD and 24 normal children at discovery, followed by an intervention stage in the same 26 ASD children randomized to probiotics plus FOS (n=16) or placebo (n=10). The PubMed abstract explicitly states that gut microbiota profiles were measured using 16S rRNA sequencing. Representative SRA run XML confirms Human stool samples, AMPLICON library strategy, and Illumina HiSeq 2500. Public repository metadata expose 104 stool amplicon runs and samples because repeated intervention-associated uploads are present; n_asd and n_control were therefore extracted from the primary article at participant level rather than from raw run count."
SCR00140,BioProject,PRJNA624252,16S rRNA gene sequence of autism spectrum disorder children,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA624252,Zhao et al. 2019,Correlation between gut microbiota and behavior symptoms in children with autism spectrum disorder,10.7499/j.issn.1008-8830.2019.07.009,31315765,yes,China,case_control,50,30,20,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Primary article and PubMed directly confirm Zhao et al. 2019 (doi 10.7499/j.issn.1008-8830.2019.07.009; PMID 31315765; PMCID PMC7389106) for PRJNA624252. The article reports 30 ASD and 20 typically developing children from the Fifth Affiliated Hospital of Zhengzhou University, China, profiled from fecal samples by V3-V4 16S sequencing. BioProject overview is concordant at 50 experiments and 50 BioSamples, but currently visible run-level metadata expose only 49 unique biosample identifiers because ASD-25/SAMN14572492 appears duplicated and a distinct ASD-26 sample is not separately visible; participant counts were therefore anchored to the linked article and BioProject overview rather than the incomplete visible run list."
SCR00141,BioProject,PRJNA642975,16s rRNA amplicon sequencing of fecal samples from Chinese children with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA642975,Cao et al. 2021,Dysbiotic Gut Microbiota and Dysregulation of Cytokine Profile in Children and Teens With Autism Spectrum Disorder,10.3389/fnins.2021.635925,33642989,yes,China,case_control,86,45,41,,stool,16S,Illumina HiSeq 2500,no,no,yes,standard,"BioProject PRJNA642975 directly matches the Frontiers in Neuroscience article by Cao et al. 2021. The BioProject title and description specify 16S rRNA amplicon sequencing of fecal samples from Chinese children with ASD, and the article reports a cohort of 45 ASD subjects and 41 healthy controls aged 2 to 19 years. The full text states that raw data were deposited under PRJNA642975 and that libraries were sequenced as paired-end 2 x 250 bp reads on an Illumina HiSeq apparatus; public RunInfo further resolves the platform as Illumina HiSeq 2500 with AMPLICON strategy and 86 unique biosamples. The article also cautions that healthy-control stool sequencing quality requires further validation, but cohort counts and core assay metadata are explicit."
SCR00143,BioProject,PRJNA644763,Study on the gut microbiota in autism children and their mothers Targeted loci,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA644763,Chen et al. 2020,Gut Bacteria Shared by Children and Their Mothers Associate with Developmental Level and Social Deficits in Autism Spectrum Disorder,10.1128/mSphere.01044-20,33268567,yes,China,case_control,246,76,47,123,stool,16S,Illumina MiSeq,no,no,yes,standard,"PRJNA644763 is the actual raw-sequence accession explicitly cited in the data-availability statement of Chen et al. 2020. The mSphere article reports 76 ASD children and 47 age- and gender-matched typically developing children, together with the mothers of both groups, yielding 246 fecal samples/participants in the paired design; n_other was used for the 123 mothers. The full text states that the bacterial 16S rRNA V3-V4 regions in fecal samples were sequenced on an Illumina MiSeq platform. Public project mirrors such as CNGBdb/OmicsDI show 246 samples, 246 experiments, and 246 runs for PRJNA644763. linked_accessions was set to PRJNA644730 because that companion BioProject page carries the same study description but no public sequence data."
SCR00147,BioProject,PRJNA686821,Shotgun metagenomics data from human stool microorganism Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA686821,Wan et al. 2022,Underdevelopment of the gut microbiota and bacteria species as non-invasive markers of prediction in children with autism spectrum disorder,10.1136/gutjnl-2020-324015,34312160,yes,Hong Kong,case_control,146,72,74,,stool,metagenome,Illumina NovaSeq 6000,no,no,yes,accepted_exception_public_subset_mismatch,"Retained in the dataset atlas as a valid paper-linked public dataset despite an exposure mismatch. Wan et al. 2022 report 146 Chinese children with deep faecal metagenomic sequencing, comprising 72 ASD and 74 typically developing children, and explicitly link the raw data to BioProject PRJNA686821. Repository metadata independently confirm human stool shotgun metagenomics on Illumina NovaSeq 6000 with paired-end WGS libraries. However, the currently exposed public accession contains only 128 runs/BioSamples, and the public sample-name structure resolves into a balanced subset of 64 a-series and 64 t-series samples rather than the full 72/74 article cohort. Therefore, n_asd and n_control were retained from the primary article, while assay, platform, body site, country, and library_layout were confirmed from repository metadata. This row is kept as a dataset-level exception and should be interpreted as a valid linked dataset whose current public release is smaller than the paper cohort."
SCR00148,BioProject,PRJNA687773,"Fecal microbiome of children with autism spectrum disorder, their mothers, and healthy children",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA687773,Huang et al. 2021,Microbiome-Specific Statistical Modeling Identifies Interplay Between Gastrointestinal Microbiome and Neurobehavioral Outcomes in Patients With Autism: A Case Control Study,10.3389/fpsyt.2021.682454,34744810,yes,China,case_control,119,39,44,36,stool,16S,Illumina MiSeq,no,no,yes,standard,"PRJNA687773 is best matched to the microbiome-focused Frontiers in Psychiatry article by Huang et al. 2021, which explicitly cites SRA PRJNA687773 and describes a case-control design with 39 ASD subjects, 36 first-degree relative controls, and 44 age- and sex-matched healthy controls. The full article reports fecal sampling, V4-V5 16S amplicon sequencing using the 515f-y/926r primer pair, and sequencing on an Illumina MiSeq platform with paired-end PE300 chemistry. Importantly, the Methods section clarifies that although siblings were intended for the first-degree family member control group, only mothers were ultimately recruited as these 36 controls because of the paucity of siblings in the study population. This microbiome-primary paper therefore provides a coherent accession-matched total of 119 public participants/samples, and n_other records the 36 mothers."
SCR00149,BioProject,PRJNA691555,Tongue microbiome associated with autism,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA691555,Abdulhaq et al. 2021,Tongue microbiome in children with autism spectrum disorder,10.1080/20002297.2021.1936434,34211637,yes,Saudi Arabia,case_control,63,25,38,,oral,16S,Illumina MiSeq,no,no,yes,standard,"The Journal of Oral Microbiology article by Abdulhaq et al. 2021 directly links its archive project ID to PRJNA691555 and reports tongue scraping samples from 25 children with ASD and 38 neurotypical controls. The article abstract specifies 16S rRNA sequencing of the V1-V3 region, and the full article page states that libraries were sequenced on an Illumina MiSeq using v3 2 x 300 bp chemistry. Because the sampling site is tongue scraping rather than stool, body_site_normalized was set to oral. country was recorded as Saudi Arabia from the Jazan University affiliations and recruitment context."
SCR00150,BioProject,PRJNA701402,Children with Attention-Deficit Hyperactivity Disorder or Autism spectrum disorder have distinct and shared microbiota compositions,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA701402,Bundgaard-Nielsen et al. 2023,Children and adolescents with attention deficit hyperactivity disorder and autism spectrum disorder share distinct microbiota compositions,10.1080/19490976.2023.2211923,37199526,yes,Denmark,case_control,95,23,17,55,stool,16S,Illumina MiSeq,no,no,yes,standard,"The Gut Microbes article by Bundgaard-Nielsen et al. 2023 explicitly links PRJNA701402 in its data-availability statement. The study recruited 95 participants in Denmark across multiple groups: ADHD (n=32), ASD (n=12), comorbid ADHD/ASD (n=11), unaffected siblings (n=23 total), and non-related controls (n=17). For ASD-atlas extraction, n_asd was set to 23 to include all participants carrying an ASD diagnosis (12 ASD only plus 11 ADHD/ASD), n_control was set to the 17 non-related controls, and n_other captures the remaining 55 participants (32 ADHD-only cases plus 23 unaffected siblings). The article states that fecal bacterial DNA underwent 16S rRNA V4 sequencing and that reads were generated as 2x300 bp on an Illumina MiSeq platform."
SCR00158,BioProject,PRJNA744027,China ASD Children gut microbiota 16S sequencing,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA744027,Ye et al. 2021,Comparison of gut microbiota in autism spectrum disorders and neurotypical boys in China: A case-control study,10.1016/j.synbio.2021.03.003,34095558,yes,China,case_control,89,71,18,,stool,16S,Illumina MiSeq,no,no,yes,standard,"The BioProject title PRJNA744027 explicitly describes a China ASD children gut microbiota 16S sequencing dataset. The matched primary article by Ye et al. 2021 reports a case-control study at China-Japan Friendship Hospital with 71 boys with ASD and 18 neurotypical controls. Full-text methods state that fecal bacterial profiling used 16S rRNA amplicon sequencing of the V1-V2 region on an Illumina MiSeq platform. The same article also performed a separate metagenomic sequencing arm on Illumina HiSeq 2500, but because the accession title specifically identifies the 16S release, assay_type_normalized was set to 16S and sequencing_platform to Illumina MiSeq for this BioProject."
SCR00159,BioProject,PRJNA746094,Multi-omics signature of Autism Spectral Disorder reveals novel microbial macromolecules,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA746094,Osama et al. 2025,Integrative multi-omics analysis of autism spectrum disorder reveals unique microbial macromolecules interactions,10.1016/j.jare.2025.01.036,39870302,yes,Egypt,case_control,59,30,29,,stool,16S,Illumina MiSeq,no,no,yes,standard,"The primary Journal of Advanced Research article by Osama et al. 2025 explicitly links PRJNA746094 as the 16S rRNA sequencing repository for this multi-omics case-control study. The article recruited 30 children with severe ASD and 30 healthy controls in Egypt and describes stool microbiota profiling by 16S rRNA V3-V4 sequencing on an Illumina MiSeqDx platform. Crucially, the 16S quality-control subsection states that one control sample was excluded because of low paired-read quality, which explains why the public accession currently exposes 59 paired-end Illumina MiSeq runs/BioSamples rather than 60. For atlas purposes, this accession therefore reflects a final analyzed 16S cohort of 30 ASD and 29 control stool samples. Repository library fields remain generically labeled OTHER/PCR/METAGENOMIC, but the article's data-availability statement and methods section directly support normalization of this accession as 16S."
SCR00162,BioProject,PRJNA754695,Gut microbiota profile in Autism Spectrum Disorders patients,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754695,Vernocchi et al. 2022,Gut Microbiota Ecology and Inferred Functions in Children With ASD Compared to Neurotypical Subjects,10.3389/fmicb.2022.871086,35756062,yes,Italy,case_control,76,41,35,,stool,16S,Illumina MiSeq,no,no,yes,standard,"NCBI BioProject PRJNA754695 directly describes bacterial 16S rRNA metagenomic analysis of fecal samples on the Illumina MiSeq platform for ASD children. The linked PubMed article is not exposed through NCBI bioproject-to-pubmed elink in this session, so publication linkage was made through the primary article data-availability statement explicitly naming PRJNA754695. Counts, country, and case-control design were taken from the primary Frontiers article: 41 ASD children and 35 neurotypical controls recruited in Rome, Italy."
SCR00163,BioProject,PRJNA758217,the effect and mechanism of fecal bacteria transplantation on Autistic Spectrum Disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA758217,Li et al. 2021,Fecal Microbiota Transplantation Relieves Gastrointestinal and Autism Symptoms by Improving the Gut Microbiota in an Open-Label Study,10.3389/fcimb.2021.759435,34737978,yes,China,intervention,56,40,16,,gut,16S,Illumina MiSeq,yes,yes,yes,standard,"NCBI BioProject PRJNA758217 directly describes a clinical trial with 16S rRNA sequencing evaluating FMT effects in children with ASD. Publication linkage was made through the matched primary Frontiers article and exact title/accession concordance because NCBI bioproject-to-pubmed elink is empty. The article reports an open-label intervention study with 40 ASD children and 16 age- and sex-matched TD controls in Chongqing, China. Repository run metadata confirm AMPLICON sequencing on Illumina MiSeq and repeatedly label the design as gut 16S; however run aliases contain oral_week0 strings that likely indicate the oral FMT administration subgroup rather than the biospecimen itself. Because the accessible repository metadata explicitly say human-gut but do not explicitly say stool/feces at sample level, body_site_normalized was conservatively set to gut rather than stool."
SCR00165,BioProject,PRJNA769228,Gut microbial profile is associated with the severity of social impairment and IQ performance in children with autism spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA769228,Chen et al. 2021,Gut Microbial Profile Is Associated With the Severity of Social Impairment and IQ Performance in Children With Autism Spectrum Disorder,10.3389/fpsyt.2021.789864,34975585,yes,China,case_control,261,138,60,63,stool,16S,Illumina MiSeq,no,no,yes,standard,"PRJNA769228 is a mixed cohort study with three groups: 138 ASD, 63 developmental delay or intellectual disability (DD/ID), and 60 typically developing (TD) children from the Shanghai Xinhua Registry. n_control was restricted to the explicit TD comparator, and n_other captures the DD/ID group. The primary article and BioProject repository are directly linked by the article data-availability statement naming PRJNA769228. Article methods describe stool/fecal sampling and V3-V4 16S rRNA sequencing. The article text mentions sequencing on Illumina MiSeq and Ion PGM, but the public SRA runs for PRJNA769228 are consistently labeled AMPLICON on Illumina MiSeq with 2x300 bp reads, so sequencing_platform was normalized to Illumina MiSeq using repository metadata."
SCR00166,BioProject,PRJNA782533,Metagenomic study of the gut microbiome associated with autism spectrum disorders and their potential change after Microbiota Transfer Therapy,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA782533,Nirmalkar et al. 2022,Shotgun Metagenomics Study Suggests Alteration in Sulfur Metabolism and Oxidative Stress in Children with Autism and Improvement after Microbiota Transfer Therapy,10.3390/ijms232113481,36362265,yes,United States,intervention,45,18,20,7,stool,metagenome,Illumina NextSeq 500,yes,yes,yes,standard,"The matched primary article explicitly states that PRJNA782533 contains shotgun metagenomic sequencing from the phase-1 open-label microbiota transfer therapy (MTT) study. Participant-level baseline comparator counts are 18 ASD and 20 typically developing controls; the accession additionally includes repeated ASD timepoints (10-week and 2-year follow-up) and donor cohorts (major donor n=5, maintenance donor n=2), recorded here as n_other=7 and reflected in n_total=45 unique human subjects. Repository metadata confirm WGS metagenomic libraries from human feces/feces metagenome on Illumina NextSeq 500. Country was normalized to United States from Arizona State University and sample geo_loc_name=USA:Ariozna in SRA metadata."
SCR00170,BioProject,PRJNA813424,"microbiome, mycobiome and sncRNAs of children with autism spectrum disorders",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA813424,Chiappori et al. 2022,Analysis of Faecal Microbiota and Small ncRNAs in Autism: Detection of miRNAs and piRNAs with Possible Implications in Host-Gut Microbiota Cross-Talk,10.3390/nu14071340,35405953,yes,Italy,case_control,12,6,6,,stool,16S,Illumina MiSeq,no,no,yes,standard,"The primary Nutrients article and the public PRJNA813424 accession describe the same Italian case-control multi-omics cohort of 6 ASD and 6 neurotypical controls. For ASD-atlas extraction, the bacterial layer was normalized as 16S because the accession contains explicit paired-end amplicon runs for the 16S V3-V4 and 18S NS1-NS2 targets (sample names ending in V16 and V18) derived from stool/feces samples. The article methods state that 16S and 18S amplicons were sequenced on an Illumina MiSeq Flow Cell V3 with 2x300 bp chemistry, while small RNA libraries were sequenced separately on NextSeq 500 with 1x75 bp. Although the deposited SRA instrument_model field for the amplicon runs reports NextSeq 500, the public run-level statistics show paired reads of approximately 301 bp, which is consistent with MiSeq V3 amplicon sequencing and inconsistent with the small-RNA NextSeq configuration described in the paper. Sequencing_platform was therefore normalized to Illumina MiSeq and the repository instrument label is treated as a likely metadata error."
SCR00172,BioProject,PRJNA815491,A preliminary investigation on the relationship between gut microbiota and gene expressions in peripheral mononuclear cells of infants with autism spectrum disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA815491,Inoue et al. 2016,A preliminary investigation on the relationship between gut microbiota and gene expressions in peripheral mononuclear cells of infants with autism spectrum disorders,10.1080/09168451.2016.1222267,27581276,yes,Japan,case_control,12,6,6,,stool,16S,Illumina MiSeq,no,no,yes,standard,"The BioProject page for PRJNA815491 directly links to PubMed 27581276. The original article reports six infants with ASD and six healthy infants aged 3 to 5 years living in similar geographic regions in Japan. Public SRA run XML confirms paired-end AMPLICON sequencing of the V3-V4 region of the 16S rRNA gene on Illumina MiSeq, with run aliases explicitly labeling infant-asd samples and sample titles describing infant feces. Because the article is older and not openly mirrored in PMC within this session, country and counts were taken from the primary article metadata/snippet and repository link-outs, while assay/platform/body-site were confirmed from the original SRA repository pages."
SCR00180,BioProject,PRJNA895487,Multi-omic gut microbiomes of autistic children and their typically developing siblings,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA895487,Tataru et al. 2023,Topic modeling for multi-omic integration in the human gut microbiome and implications for Autism,10.1038/s41598-023-38228-0,37443184,yes,United States,case_control,196,98,98,,stool,16S,Illumina MiSeq; Illumina NextSeq 500; Illumina HiSeq 4000,no,no,yes,accepted_exception_aggregated_multiomic_dataset,"Retained in the dataset atlas as an aggregated multi-omic public dataset accession rather than a single-assay study row. NCBI BioProject PRJNA895487 contains 16S amplicon, shotgun metagenomic, shotgun metatranscriptomic, and untargeted metabolomic stool data from autistic children and their typically developing siblings. Public SRA currently exposes 883 paired-end runs across 483 unique SampleName values, including 503 amplicon MiSeq runs, 194 WGS NextSeq 500 runs, and 186 metatranscriptomic HiSeq 4000 runs. The BioProject XML links multiple related publications; the current linked_publications, doi, and pmid fields remain anchored to Tataru et al. 2023 because that paper explicitly deposits data under PRJNA895487 and reports an overall sibling cohort of 196 children, comprising 98 ASD and 98 typically developing siblings, although only 81 stool samples received all four omic measurements. Therefore the current counts are retained as representative paper-level cohort counts, not as a summary of the full accession or of any single modality. This row is kept as a dataset-level exception for the atlas."
SCR00184,BioProject,PRJNA928241,Gut microbiome of autism spectrum disorder's patients in Thailand,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA928241,Bhusri et al. 2025,Characterization of gut microbiota on gender and age groups bias in Thai patients with autism spectrum disorder,10.1038/s41598-025-86740-2,39833480,yes,Thailand,case_control,95,62,33,,stool,16S,Illumina NovaSeq 6000,no,no,yes,standard,"A directly matching Scientific Reports article was verified for PRJNA928241: Bhusri et al. 2025 (doi 10.1038/s41598-025-86740-2; PMID 39833480; PMCID PMC11747245). The article abstract reports 65 ASD and 30 NT individuals, but the full Methods section states that the 2019 Thai cohort comprised 62 ASD participants and 33 neurotypical siblings, for a total of 95 participants recruited at Yuwaprasart Waithayopathum Child and Adolescent Psychiatric Hospital. Public repository metadata independently support the Methods-level counts: the accession contains 95 SRA experiments and 95 BioSamples, and the sample-level metadata used in extraction resolve to 62 ASD and 33 neurotypical controls. The later author-correction notice (doi 10.1038/s41598-025-98923-y; PMID 40312492; PMCID PMC12046046) addresses equal-contribution authorship only and does not modify the cohort counts. Country and stool body-site were confirmed from public sample metadata. Run-level SRA metadata confirm paired-end 16S V4 amplicon sequencing with deposited platform Illumina NovaSeq 6000 and read lengths of approximately 251 bp, while the design description mentions MiSeq Reagent Kit V2. For atlas extraction, the participant counts were therefore fixed to the concordant Methods/repository values of 62 ASD and 33 controls."
SCR00185,BioProject,PRJNA932561,autistic children Raw sequence reads,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA932561,He et al. 2023,Altered Gut Microbiota and Short-chain Fatty Acids in Chinese Children with Constipated Autism Spectrum Disorder,10.1038/s41598-023-46566-2,37925571,yes,China,case_control,80,40,40,,stool,16S,Illumina MiniSeq,no,no,yes,standard,"Primary article and PubMed directly confirm He et al. 2023 (doi 10.1038/s41598-023-46566-2; PMID 37925571; PMCID PMC10625580) for PRJNA932561. The study reports a Chinese case-control fecal 16S dataset with 40 ASD and 40 typically developing children. Public repository metadata independently support 80 public paired-end V4 16S runs on Illumina MiniSeq with sample aliases C-ASD-1 to C-ASD-40 and TD-1 to TD-40. body_site_raw and sample_type_raw were updated from the article wording faecal samples, and body_site_normalized was therefore set to stool."
SCR00189,BioProject,PRJNA943687,Faecal metagenome of children with autism spectrum disorder and children that are neurotypical,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA943687,Wan et al. 2024,Fecal microbial marker panel for aiding diagnosis of autism spectrum disorders,10.1080/19490976.2024.2418984,39468837,yes,Hong Kong,case_control,598,264,334,,stool,metagenome,Illumina NovaSeq 6000,no,no,yes,standard,"The Gut Microbes article by Wan et al. 2024 directly states that the metagenomic sequencing data generated in this study were deposited under BioProject PRJNA943687. Full text was used for participant counts because the PubMed abstract is internally inconsistent: the abstract reports n=598 with ASD vs TD = 273 vs 325, whereas the article results and Table 1 report 264 ASD and 334 unrelated TD children total, split into a discovery cohort of 129 ASD and 144 TD and a validation cohort of 135 ASD and 190 TD. Country was taken from the article methods, which describe recruitment from Prince of Wales Hospital, Alice Ho Miu Ling Nethersole Hospital, and community controls in Hong Kong. Repository metadata support a fecal WGS dataset on Illumina NovaSeq 6000 with paired-end layout. The public BioProject has since expanded into a rolling resource with 2089 runs, 2089 BioSamples, and 2089 unique SampleName values under at least two major release waves, so the current accession no longer corresponds one-to-one to the Wan et al. 2024 cohort. This row is therefore treated as a reviewed paper-anchored cohort record for Wan et al. 2024 rather than a summary of the full current accession."
SCR00191,BioProject,PRJNA953169,Gur microbiota and metabolomics in child with autism spectrum disorder,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA953169,Wang et al. 2023,Gut microbiota signature in children with autism spectrum disorder who suffered from chronic gastrointestinal symptoms,10.1186/s12887-023-04292-8,37730588,yes,China,case_control,83,42,41,,stool,16S,Illumina MiniSeq,no,no,yes,standard,"The BioProject title for PRJNA953169 contains a typographical error (""Gur microbiota and metabolomics in child with autism spectrum disorder""), but the public project description, article text, and data-availability statement all point to the same 16S fecal ASD cohort from Xiamen. Counts were taken from the primary BMC Pediatrics article and match repository metadata exactly: 42 ASD samples and 41 controls, totaling 83 public BioSamples/runs. Country was supported by both the article affiliations and ENA sample XML records, which consistently list China:Xiamen. Body site was normalized to stool from the article text reporting fecal samples; ENA sample metadata classify the samples under the human-gut MIMARKS package. Sequencing platform was taken from SRA RunInfo, which shows 83 paired-end AMPLICON runs on Illumina MiniSeq."
SCR00194,BioProject,PRJNA988151,Introduction: Nutrition and gut microbiota play a fundamental role in human health and various conditions such as Autism Spectrum Disorder (ASD). Children with ASD may have a restrictive diet due to increased sensory sensitivity or adherence to a glu,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA988151,Mendive Dubourdieu and Guerendiain 2023,"Understanding the link between gut microbiota, dietary intake, and nutritional status in children with autism and typical development",10.3389/fnut.2023.1202948,37545578,yes,Uruguay,cross_sectional,58,30,28,,stool,16S,Ion GeneStudio S5,no,no,yes,standard,"The Frontiers in Nutrition article directly states in its data-availability section that the study data are deposited under BioProject PRJNA988151. The primary article and PubMed abstract consistently report a descriptive cross-sectional cohort of 30 ASD and 28 typically developing children, and these totals align exactly with the 58 public SRA runs currently exposed for the accession. Public repository metadata also confirm a 16S amplicon dataset on Ion Torrent GeneStudio S5 with single-end layout. The public BioProject description currently contains a conflicting longer summary mentioning ASD = 35 and TD = 30, but this was not adopted because it does not match the linked primary article or the public run count. Country was confirmed from the article affiliations and ENA BioSample metadata (Uruguay:Montevideo). Public repository structure remains unusual because all 58 runs are attached to a single BioSample accession (SAMN36008211), so participant-level counts cannot be reconstructed directly from BioSample aliases; nevertheless, the article-level 30/28 counts are strongly supported and were retained."
